adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0000073124-26-000016,SecuritiesSoldUnderAgreementsToRepurchase,us-gaap/2025,20241231,0,USD,FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,462000000.0,
0000073124-26-000016,SeniorNotes,us-gaap/2025,20241231,0,USD,LongtermDebtType=FixedRateCorporateSeniorNotesDueAugust2028;,,479600000.0,
0000073124-26-000016,ShareRepurchaseProgramExciseTax,us-gaap/2025,20231231,4,USD,,,2500000.0,
0000073124-26-000016,ShareRepurchaseProgramExciseTax,us-gaap/2025,20241231,4,USD,,,8400000.0,
0000073124-26-000016,StockholdersEquity,us-gaap/2025,20221231,0,USD,EquityComponents=AccumulatedNetUnrealizedInvestmentGainLoss;,,-1367600000.0,
0000073124-26-000016,StockholdersEquity,us-gaap/2025,20251231,0,USD,ConsolidatedEntities=ParentCompany;,,12957900000.0,
0000073124-26-000016,TreasuryStockValueAcquiredCostMethod,us-gaap/2025,20241231,4,USD,EquityComponents=TreasuryStockCommon;,,937800000.0,
0000073124-26-000016,TreasuryStockValueAcquiredCostMethod,us-gaap/2025,20251231,4,USD,,,1273500000.0,
0000073124-26-000016,WeightedAverageNumberOfSharesOutstandingBasic,us-gaap/2025,20251231,4,shares,,,191358026.0,
0000073124-26-000016,AccretionAmortizationOfDiscountsAndPremiumsInvestments,us-gaap/2025,20241231,4,USD,,,35100000.0,
0000073124-26-000016,AdditionalPaidInCapital,us-gaap/2025,20241231,0,USD,,,1025300000.0,
0000073124-26-000016,AdditionalPaidInCapital,us-gaap/2025,20251231,0,USD,ConsolidatedEntities=ParentCompany;,,1039000000.0,
0000073124-26-000016,CashAndDueFromBanks,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,CashAndDueFromBanks,us-gaap/2025,20241231,0,USD,FairValueByMeasurementBasis=CarryingReportedAmountFairValueDisclosure;,,4677200000.0,
0000073124-26-000016,CashAndDueFromBanks,us-gaap/2025,20251231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;,,0.0,
0000073124-26-000016,CashAndDueFromBanks,us-gaap/2025,20251231,0,USD,FairValueByMeasurementBasis=CarryingReportedAmountFairValueDisclosure;,,5873100000.0,
0000073124-26-000016,CreditLossExpenseReversalAndAvailableForSaleAllowanceForCreditLoss,0000073124-26-000016,20231231,4,USD,BusinessSegments=AssetServicingSegment;ConsolidationItems=OperatingSegments;,,500000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20241231,0,USD,FinancialInstrument=CommercialMortgageBackedSecurities;,,603400000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20241231,0,USD,FinancialInstrument=CoveredBonds;,,234000000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleAmortizedCostExcludingAccruedInterestAfterAllowanceForCreditLoss,us-gaap/2025,20251231,0,USD,FinancialInstrument=SubSovereignSupranationalAndNonUsAgencyBonds;,,5002900000.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;FinancialInstrument=USGovernmentAgenciesDebtSecurities;,,0.0,
0000073124-26-000016,DebtSecuritiesAvailableForSaleExcludingAccruedInterest,us-gaap/2025,20241231,0,USD,FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;,,21634000000.0,
